date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2019-01-25,1094.23,1103.36,1091.8,1101.51,1163788,1163788,17.51,1.615,1098.95,Jan 25,0
2019-01-28,1090.07,1093.37,1074.61,1079.86,1466714,1466714,-21.65,-1.965,1081.16,Jan 28,-0.019654837450409066
2019-01-29,1081.04,1084.73,1066.02,1070.06,985248,985248,-9.8,-0.908,1072.72,Jan 29,-0.02855171537253411
2019-01-30,1077.36,1099.52,1076.64,1097.99,1472647,1472647,27.93,2.61,1089.47,Jan 30,-0.0031956132944775642
2019-01-31,1112.24,1127.67,1105.25,1125.89,2011572,2011572,27.9,2.541,1121.13,Jan 31,0.022133253443001072
2019-02-01,1122.29,1134.4,1114.25,1118.62,1655813,1655813,-7.27,-0.646,1122.31,Feb 1,0.015533222576281558
2019-02-04,1119.01,1142.34,1117.51,1141.42,3920591,3920591,22.8,2.038,1135.34,Feb 4,0.036232081415511506
2019-02-05,1129.63,1152.77,1123.6,1151.87,4114790,4114790,10.45,0.916,1137.68,Feb 5,0.04571905838349166
2019-02-06,1149.27,1154,1118.36,1122.89,2412820,2412820,-28.98,-2.516,1130.18,Feb 6,0.019409719385207677
2019-02-07,1111.82,1111.99,1093.59,1105.91,1914877,1914877,-16.98,-1.512,1102.37,Feb 7,0.003994516618097059
2019-02-08,1094.88,1105.1,1094.24,1102.38,1088327,1088327,-3.53,-0.319,1100.38,Feb 8,0.0007898248767601912
2019-02-11,1103.75,1113.43,1100,1102.12,924881,924881,-0.26,-0.024,1104.02,Feb 11,0.0005537852584178991
2019-02-12,1111.01,1132.86,1111.01,1127.58,1751771,1751771,25.46,2.31,1126.01,Feb 12,0.023667510962224525
2019-02-13,1133.04,1142.85,1126,1128.63,1402087,1402087,1.05,0.093,1133.95,Feb 13,0.024620747882452377
2019-02-14,1125,1136.13,1117.09,1129.2,1055297,1055297,0.57,0.051,1128.29,Feb 14,0.025138219353433064
2019-02-15,1139.3,1139.3,1116.72,1119.63,1391348,1391348,-9.57,-0.848,1124.26,Feb 15,0.0164501457090722
2019-02-19,1116.64,1129.64,1116.64,1126.51,1099259,1099259,6.88,0.614,1125.68,Feb 19,0.022696117148278273
2019-02-20,1128.88,1130.93,1111.75,1120.59,1204533,1204533,-5.92,-0.526,1122.95,Feb 20,0.017321676607565912
2019-02-21,1118.78,1119.15,1097.98,1104.21,1663980,1663980,-16.38,-1.462,1104.77,Feb 21,0.002451180652014095
2019-02-22,1109.7,1117.25,1100.5,1116.56,1471783,1471783,12.35,1.118,1112.11,Feb 22,0.01366306252326348
2019-02-25,1121.93,1125.4,1114.11,1117.33,1310362,1310362,0.77,0.069,1119.31,Feb 25,0.014362102931430433
