date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2018-02-26,1131.86,1144.2,1129.34,1143.7,1545619,1545619,15.61,1.384,1137.3,"Feb 26, 18",0
2018-02-27,1143.7,1144.25,1116.79,1117.51,2148159,2148159,-26.19,-2.29,1127.83,"Feb 27, 18",-0.022899361720731006
2018-02-28,1122,1127.65,1103,1103.92,2464619,2464619,-13.59,-1.216,1113.56,"Feb 28, 18",-0.034781848386814695
2018-03-01,1109.54,1111.27,1067.29,1071.41,2766856,2766856,-32.51,-2.945,1083.14,"Mar 1, 18",-0.0632071347381306
2018-03-02,1057.98,1086.89,1050.11,1084.14,2508145,2508145,12.73,1.188,1069.51,"Mar 2, 18",-0.05207659351228464
2018-03-05,1078.13,1101.18,1072.27,1094.76,1432369,1432369,10.62,0.98,1089.13,"Mar 5, 18",-0.04279094168051067
2018-03-06,1102.1,1105.63,1094.5,1100.9,1169068,1169068,6.14,0.561,1100.75,"Mar 6, 18",-0.037422400979277744
2018-03-07,1092.82,1116.2,1089.91,1115.04,1537429,1537429,14.14,1.284,1104.54,"Mar 7, 18",-0.02505901897350711
2018-03-08,1117.2,1131.44,1117.2,1129.38,1693133,1693133,14.34,1.286,1124.68,"Mar 8, 18",-0.012520765935122791
2018-03-09,1139.5,1161,1134.29,1160.84,2133087,2133087,31.46,2.786,1150.26,"Mar 9, 18",0.014986447494972346
2018-03-12,1165.05,1178.16,1159.2,1165.93,2215304,2215304,5.09,0.438,1169.01,"Mar 12, 18",0.019436915274984715
2018-03-13,1171.83,1178,1134.57,1139.91,2156999,2156999,-26.02,-2.232,1152.62,"Mar 13, 18",-0.0033138060680247996
2018-03-14,1145.8,1159.76,1142.35,1148.89,2093482,2093482,8.98,0.788,1150.3,"Mar 14, 18",0.004537903296319012
2018-03-15,1149.57,1162.5,1135.66,1150.61,1669094,1669094,1.72,0.15,1150.93,"Mar 15, 18",0.006041794176794487
2018-03-16,1155.35,1156.81,1131.36,1134.42,2932759,2932759,-16.19,-1.407,1139.84,"Mar 16, 18",-0.008114015913263944
2018-03-19,1117.76,1119.37,1088.92,1100.07,3182796,3182796,-34.35,-3.028,1100.27,"Mar 19, 18",-0.03814811576462369
2018-03-20,1098.4,1105.55,1082.42,1095.8,2729857,2729857,-4.27,-0.388,1095.4,"Mar 20, 18",-0.041881612310920774
2018-03-21,1092.57,1108.7,1087.21,1094,2244865,2244865,-1.8,-0.164,1098.46,"Mar 21, 18",-0.04345545160444176
2018-03-22,1080.01,1083.92,1049.64,1053.15,3465608,3465608,-40.85,-3.734,1063.8,"Mar 22, 18",-0.07917286001573835
2018-03-23,1051.37,1066.78,1024.87,1026.55,2493971,2493971,-26.6,-2.526,1045.32,"Mar 23, 18",-0.102430707353327
2018-03-26,1050.6,1059.27,1010.58,1054.09,3299151,3299151,27.54,2.683,1037.73,"Mar 26, 18",-0.0783509661624553
2018-03-27,1063.9,1064.54,997.62,1006.94,3040809,3040809,-47.15,-4.473,1027.57,"Mar 27, 18",-0.11957681210107544
2018-03-28,1001.91,1024.99,984,1005.18,3884943,3884943,-1.76,-0.175,1006.5,"Mar 28, 18",-0.12111567718807388
