date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-11-26,377.61,382.5,374.8175,381.37,2730689,2730689,4.73,1.256,384.32,"Nov 26, 13",0
2013-11-27,383.5,387,382.611,386.71,2269656,2269656,5.34,1.4,385.3379,"Nov 27, 13",0.014002150142905774
2013-11-29,389.1,394.0999,388.62,393.62,2405985,2405985,6.91,1.787,392.8298,"Nov 29, 13",0.03212103731284579
2013-12-02,399,399,389.1,392.3,4718883,4718883,-1.32,-0.335,393.3537,"Dec 2, 13",0.028659831659543243
2013-12-03,390.11,390.949,383.1,384.66,3707536,3707536,-7.64,-1.947,385.4498,"Dec 3, 13",0.00862679287830721
2013-12-04,383.5,389.69,381.4914,385.96,2355719,2355719,1.3,0.338,386.0643,"Dec 4, 13",0.012035556021711134
2013-12-05,386.65,386.65,381.371,384.49,1906452,1906452,-1.47,-0.381,383.6668,"Dec 5, 13",0.008181031544169716
2013-12-06,388.35,388.35,383.83,386.95,1987762,1987762,2.46,0.64,386.3328,"Dec 6, 13",0.014631460261688083
2013-12-09,388.11,388.21,382.57,384.89,2766573,2766573,-2.06,-0.532,384.4892,"Dec 9, 13",0.009229881742140131
2013-12-10,383.74,389.06,383.02,387.78,2739875,2739875,2.89,0.751,387.0167,"Dec 10, 13",0.016807824422476775
2013-12-11,387.34,388.98,382,382.19,2451254,2451254,-5.59,-1.442,386.2515,"Dec 11, 13",0.0021501429058394554
2013-12-12,381.26,385,379.5,381.25,2123652,2123652,-0.94,-0.246,381.953,"Dec 12, 13",-0.0003146550593911544
2013-12-13,385.32,389.42,383.8,384.24,3025145,3025145,2.99,0.784,386.6439,"Dec 13, 13",0.007525500170438169
2013-12-16,385.03,391.7,385,388.97,2258884,2258884,4.73,1.231,386.7262,"Dec 16, 13",0.019928153761439082
2013-12-17,390.65,391.36,386.5,387.65,2348377,2348377,-1.32,-0.339,392.3755,"Dec 17, 13",0.016466948108136384
2013-12-18,389.23,396.3,383.1,395.96,3493635,3493635,8.31,2.144,390.0149,"Dec 18, 13",0.038256810970973006
2013-12-19,394.27,397.29,392.6,395.19,2429598,2429598,-0.77,-0.194,395.356,"Dec 19, 13",0.03623777433987989
2013-12-20,396.55,404.72,395.78,402.2,5038537,5038537,7.01,1.774,401.1329,"Dec 20, 13",0.054618874059312435
2013-12-23,403.69,405,399.2,402.92,2661823,2661823,0.72,0.179,402.2857,"Dec 23, 13",0.05650680441565936
2013-12-24,402.52,403.7249,396.37,399.2,1380373,1380373,-3.72,-0.923,399.4538,"Dec 24, 13",0.046752497574533876
2013-12-26,401.79,404.52,396.81,404.39,1871590,1871590,5.19,1.3,401.8815,"Dec 26, 13",0.06036132889320078
2013-12-27,404.65,405.63,396.25,398.08,1987280,1987280,-6.31,-1.56,399.9122,"Dec 27, 13",0.043815717020216534
2013-12-30,399.41,399.92,392.45,393.37,2487812,2487812,-4.71,-1.183,394.7291,"Dec 30, 13",0.03146550593911424
2013-12-31,394.58,398.83,393.8,398.79,1997051,1997051,5.42,1.378,396.921,"Dec 31, 13",0.04567742612161422
2014-01-02,398.8,399.36,394.02,397.97,2140246,2140246,-0.82,-0.206,395.1701,"Jan 2, 14",0.043527283215774766
2014-01-03,398.29,402.71,396.22,396.44,2213512,2213512,-1.53,-0.384,398.9698,"Jan 3, 14",0.03951543120853762
2014-01-06,395.85,397,388.42,393.63,3172207,3172207,-2.81,-0.709,391.903,"Jan 6, 14",0.03214725856779503
2014-01-07,395.04,398.47,394.29,398.03,1916684,1916684,4.4,1.118,397.0975,"Jan 7, 14",0.04368461074547019
2014-01-08,398.47,403,396.04,401.92,2316903,2316903,3.89,0.977,401.8055,"Jan 8, 14",0.053884678920733176
2014-01-09,403.71,406.89,398.44,401.01,2103793,2103793,-0.91,-0.226,401.8792,"Jan 9, 14",0.05149854472035028
2014-01-10,402.53,403.764,393.8,397.66,2681701,2681701,-3.35,-0.835,397.4558,"Jan 10, 14",0.04271442431234764
2014-01-13,397.98,399.78,388.45,390.98,2846507,2846507,-6.68,-1.68,390.4933,"Jan 13, 14",0.025198626006240694
2014-01-14,392.13,398.63,391.29,397.54,2340401,2340401,6.56,1.678,395.7222,"Jan 14, 14",0.042399769252956486
2014-01-15,398.94,399.31,392.534,395.87,2678794,2678794,-1.67,-0.42,395.5791,"Jan 15, 14",0.038020819676429715
2014-01-16,393.68,399.29,389.41,395.8,2602506,2602506,-0.07,-0.018,395.2201,"Jan 16, 14",0.037837270891784895
2014-01-17,394.26,403.49,393.66,399.61,4508791,4508791,3.81,0.963,399.0887,"Jan 17, 14",0.04782756902745368
2014-01-21,403,407.8,401.6,407.05,3122705,3122705,7.44,1.862,404.8641,"Jan 21, 14",0.0673361827097045
2014-01-22,408,408.06,402,404.54,2069759,2069759,-2.51,-0.617,404.6403,"Jan 22, 14",0.0607546477174398
2014-01-23,401,406.17,397.79,399.87,3026272,3026272,-4.67,-1.154,401.1395,"Jan 23, 14",0.04850932165613446
2014-01-24,398.16,400.2,387.27,387.6,4513038,4513038,-12.27,-3.068,392.6926,"Jan 24, 14",0.016335841833390194
2014-01-27,390.5,394.1,380.49,386.28,3944752,3944752,-1.32,-0.341,384.2967,"Jan 27, 14",0.012874636180087495
2014-01-28,387.4,394.74,387.12,394.43,2901611,2901611,8.15,2.11,392.165,"Jan 28, 14",0.03424495896373601
2014-01-29,392.16,392.85,383.24,384.2,3399294,3399294,-10.23,-2.594,387.5258,"Jan 29, 14",0.0074206151506410675
2014-01-30,393.77,406.25,387.7,403.01,10900116,10900116,18.81,4.896,389.4987,"Jan 30, 14",0.05674279571020265
2014-01-31,371.76,375.45,357.76,358.69,16181519,16181519,-44.32,-10.997,366.2713,"Jan 31, 14",-0.05946980622492594
2014-02-03,358.98,360.85,340.1,346.15,10290934,10290934,-12.54,-3.496,348.3391,"Feb 3, 14",-0.09235125993130039
2014-02-04,349.59,353.9975,344.02,347.95,4821177,4821177,1.8,0.52,348.9851,"Feb 4, 14",-0.08763143404043322
2014-02-05,346,349.37,337.73,346.45,4439010,4439010,-1.5,-0.431,344.5981,"Feb 5, 14",-0.0915646222828225
2014-02-06,347.403,354.82,347.403,354.59,3340542,3340542,8.14,2.35,352.411,"Feb 6, 14",-0.07022052075412337
2014-02-07,358.98,361.8,352.49,361.08,4347189,4347189,6.49,1.83,358.3834,"Feb 7, 14",-0.053202926292052394
2014-02-10,361.61,365,359.35,360.87,3451093,3451093,-0.21,-0.058,361.838,"Feb 10, 14",-0.05375357264598683
2014-02-11,361.842,363.61,356.25,361.79,3225200,3225200,0.92,0.255,360.2248,"Feb 11, 14",-0.0513412171906547
2014-02-12,356.43,357.75,346.32,349.25,6599199,6599199,-12.54,-3.466,350.4571,"Feb 12, 14",-0.08422267089702914
2014-02-13,347.7,357.2,346.5,357.2,4181445,4181445,7.95,2.276,353.4618,"Feb 13, 14",-0.06337677321236598
2014-02-14,359.34,359.34,353.35,357.35,3524570,3524570,0.15,0.042,357.8228,"Feb 14, 14",-0.06298345438812697
2014-02-18,355.28,355.73,349.45,353.65,5000493,5000493,-3.7,-1.035,352.9062,"Feb 18, 14",-0.07268531871935398
2014-02-19,352.64,354.54,346.1,347.38,4175393,4175393,-6.27,-1.773,348.9957,"Feb 19, 14",-0.08912604557254113
2014-02-20,348.8,350.46,344.38,349.8,3496663,3496663,2.42,0.697,348.3101,"Feb 20, 14",-0.08278050187481971
2014-02-21,352.44,354.141,346.75,346.76,4212144,4212144,-3.04,-0.869,350.1549,"Feb 21, 14",-0.09075176337939538
2014-02-24,345.19,353,343.29,351.78,3647182,3647182,5.02,1.448,350.4728,"Feb 24, 14",-0.07758869339486596
2014-02-25,353,361.08,351.58,358.32,3747076,3747076,6.54,1.859,358.4161,"Feb 25, 14",-0.06043999265804864
2014-02-26,359.86,364.75,357.17,359.8,3622506,3622506,1.48,0.413,361.2083,"Feb 26, 14",-0.05655924692555784
2014-02-27,357.22,360.59,355.5,360.13,3105442,3105442,0.33,0.092,358.2717,"Feb 27, 14",-0.05569394551223224
2014-02-28,360.6,365.865,357.084,362.1,3885207,3885207,1.97,0.547,362.7755,"Feb 28, 14",-0.05052835828722758
2014-03-03,358.735,360.96,354.48,359.78,2798230,2798230,-2.32,-0.641,357.9925,"Mar 3, 14",-0.05661168943545646
2014-03-04,363.9,365.68,362.46,363.9,2706843,2706843,4.12,1.145,363.9685,"Mar 4, 14",-0.04580853239636056
2014-03-05,364.13,372.728,363.9,372.37,3862706,3862706,8.47,2.328,370.2934,"Mar 5, 14",-0.023599129454335684
2014-03-06,374.05,375.33,368.9,372.16,2927497,2927497,-0.21,-0.056,372.2203,"Mar 6, 14",-0.02414977580827013
2014-03-07,374.58,374.99,369.531,372.06,2280358,2280358,-0.1,-0.027,371.4883,"Mar 7, 14",-0.024411988357762808
2014-03-10,372.69,372.73,367,370.53,2107820,2107820,-1.53,-0.411,369.5863,"Mar 10, 14",-0.028423840364999953
2014-03-11,370.99,372.8,367.28,368.82,2248019,2248019,-1.71,-0.462,369.9371,"Mar 11, 14",-0.03290767496132368
2014-03-12,366.4,371.16,363.61,370.64,2219663,2219663,1.82,0.493,368.19,"Mar 12, 14",-0.028135406560558036
2014-03-13,376.62,383.11,368.08,371.51,6829047,6829047,0.87,0.235,376.212,"Mar 13, 14",-0.02585415737997224
2014-03-14,372.8,378.568,371.55,373.74,4402220,4402220,2.23,0.6,374.9219,"Mar 14, 14",-0.020006817526286795
2014-03-17,375.72,378.85,374.88,375.04,2306821,2306821,1.3,0.348,376.6811,"Mar 17, 14",-0.016598054382882723
2014-03-18,377.32,379,375,378.77,2483508,2483508,3.73,0.995,376.9566,"Mar 18, 14",-0.006817526286808146
2014-03-19,378.77,379,369.42,373.23,2646687,2646687,-5.54,-1.463,368.7304,"Mar 19, 14",-0.021344101528699127
2014-03-20,370.64,373,366.22,368.97,2558460,2558460,-4.26,-1.141,368.9194,"Mar 20, 14",-0.032514356137084664
2014-03-21,371,372.84,358.4,360.62,5417935,5417935,-8.35,-2.263,323.1707,"Mar 21, 14",-0.054409104019718386
2014-03-24,360.09,361.5,348.6,351.85,4879627,4879627,-8.77,-2.432,353.5495,"Mar 24, 14",-0.077405144610221
2014-03-25,354.03,358.97,348.84,354.71,4455703,4455703,2.86,0.813,353.5358,"Mar 25, 14",-0.06990586569473221
2014-03-26,357.13,357.6,343.4,343.41,4120665,4120665,-11.3,-3.186,348.1482,"Mar 26, 14",-0.09953588378739801
2014-03-27,343.15,343.9999,330.88,338.47,5770462,5770462,-4.94,-1.439,334.6538,"Mar 27, 14",-0.11248918373233337
2014-03-28,340.05,347,336.08,338.29,3986782,3986782,-0.18,-0.053,341.6044,"Mar 28, 14",-0.1129611663214201
2014-03-31,342.4,346.29,334.06,336.365,4297487,4297487,-1.925,-0.569,338.9442,"Mar 31, 14",-0.11800875789915304
2014-04-01,338.09,344.43,338,342.99,3602899,3602899,6.625,1.97,342.3662,"Apr 1, 14",-0.10063717649526704
2014-04-02,345.99,348.295,340.38,341.96,4465927,4465927,-1.03,-0.3,343.5944,"Apr 2, 14",-0.1033379657550411
2014-04-03,341.82,342.5,328.46,333.62,6399299,6399299,-8.34,-2.439,333.356,"Apr 3, 14",-0.12520649238272544
2014-04-04,335.15,335.44,315.61,323,12534578,12534578,-10.62,-3.183,322.8022,"Apr 4, 14",-0.15305346513884155
2014-04-07,320.99,324.94,313.13,317.76,7077360,7077360,-5.24,-1.622,319.359,"Apr 7, 14",-0.1667934027322548
2014-04-08,321.88,328,318.44,327.07,6585583,6585583,9.31,2.93,324.946,"Apr 8, 14",-0.142381414374492
2014-04-09,328.47,332.18,322.5,331.805,5058664,5058664,4.735,1.448,327.6148,"Apr 9, 14",-0.12996565015601647
2014-04-10,330.6,331,316.5,317.11,6133376,6133376,-14.695,-4.429,321.5412,"Apr 10, 14",-0.16849778430395676
2014-04-11,314,316.5,309.5,311.73,7292028,7292028,-5.38,-1.697,312.5053,"Apr 11, 14",-0.18260481946665963
2014-04-14,317.67,320.48,311.28,315.91,4293532,4293532,4.18,1.341,315.2899,"Apr 14, 14",-0.17164433489786815
2014-04-15,316.7,318.28,305.5,316.08,5399337,5399337,0.17,0.054,311.8701,"Apr 15, 14",-0.1711985735637308
2014-04-16,321.17,324,314.71,323.68,4285901,4285901,7.6,2.404,319.5902,"Apr 16, 14",-0.15127041980229172
2014-04-17,319.76,328.66,319.76,324.91,4300378,4300378,1.23,0.38,325.3066,"Apr 17, 14",-0.14804520544353247
2014-04-21,323.97,331.1499,322.31,330.87,3000598,3000598,5.96,1.834,328.0866,"Apr 21, 14",-0.13241733749377246
2014-04-22,332,337.5,328.94,329.32,3714288,3714288,-1.55,-0.468,332.2822,"Apr 22, 14",-0.13648163201090807
2014-04-23,333.06,333.13,323.39,324.58,3604586,3604586,-4.74,-1.439,325.8996,"Apr 23, 14",-0.14891050685685822
2014-04-24,329.67,337.4,322.95,337.15,9293735,9293735,12.57,3.873,334.9283,"Apr 24, 14",-0.11595038938563607
2014-04-25,316.25,316.49,302.71,303.83,16186737,16186737,-33.32,-9.883,307.8936,"Apr 25, 14",-0.2033196108765766
2014-04-28,304,304.39,288,296.58,14479803,14479803,-7.25,-2.386,293.4412,"Apr 28, 14",-0.22233002071479147
2014-04-29,296.44,301.84,290.45,300.38,6510591,6510591,3.8,1.281,297.5727,"Apr 29, 14",-0.21236594383407192
2014-04-30,298.1,304.56,298.1,304.13,4090006,4090006,3.75,1.248,303.7056,"Apr 30, 14",-0.2025329732280987
2014-05-01,304.13,310.48,304,307.89,4329167,4329167,3.76,1.236,307.9542,"May 1, 14",-0.19267378136717628
2014-05-02,310.42,313.29,304.31,308.01,3995218,3995218,0.12,0.039,307.9921,"May 2, 14",-0.19235912630778512
2014-05-05,306.37,310.23,305,310.05,2520300,2520300,2.04,0.662,308.383,"May 5, 14",-0.18700999029813564
2014-05-06,309.53,309.81,297.04,297.38,4682327,4682327,-12.67,-4.086,303.5042,"May 6, 14",-0.22023232031885048
2014-05-07,295.56,296.4,286.68,292.71,7016937,7016937,-4.67,-1.57,290.7864,"May 7, 14",-0.2324776463801558
2014-05-08,290.82,295.8784,287.23,288.32,3848996,3848996,-4.39,-1.5,291.5409,"May 8, 14",-0.24398877730288174
2014-05-09,290.57,293.68,284.38,292.24,4062984,4062984,3.92,1.36,289.197,"May 9, 14",-0.23371004536277104
2014-05-12,294.3,303.34,294.16,302.86,3735443,3735443,10.62,3.634,300.0009,"May 12, 14",-0.20586307260665493
2014-05-13,302.6,305.6,300.75,304.64,3509937,3509937,1.78,0.588,303.9099,"May 13, 14",-0.2011956892256864
2014-05-14,302.5,304.64,296.66,297.62,3328414,3328414,-7.02,-2.304,300.2679,"May 14, 14",-0.21960301020006817
2014-05-15,298.02,299.2,290.38,295.19,4299530,4299530,-2.43,-0.816,295.2591,"May 15, 14",-0.22597477515273884
2014-05-16,292.8,298.88,291.55,297.7,3637649,3637649,2.51,0.85,295.4466,"May 16, 14",-0.21939324016047412
2014-05-19,295.76,299,293.81,296.755,2286313,2286313,-0.945,-0.317,296.5587,"May 19, 14",-0.22187114875317934
2014-05-20,297.1,304.46,296.75,301.19,4096308,4096308,4.435,1.494,301.095,"May 20, 14",-0.2102420221831817
2014-05-21,302.21,305.96,301.5201,305.01,3409200,3409200,3.82,1.268,304.5746,"May 21, 14",-0.20022550279256368
2014-05-22,305.05,308.54,303.01,304.91,2576888,2576888,-0.1,-0.033,305.935,"May 22, 14",-0.20048771534205623
2014-05-23,305.46,312.35,304.9,312.24,3055997,3055997,7.33,2.404,309.4434,"May 23, 14",-0.18126753546424731
2014-05-27,314.41,314.6296,307.38,310.82,4864163,4864163,-1.42,-0.455,310.2036,"May 27, 14",-0.18499095366704255
2014-05-28,309.5,313.82,307.42,310.16,2726803,2726803,-0.66,-0.212,311.0244,"May 28, 14",-0.18672155649369374
2014-05-29,310.42,314.87,310.2,313.78,2365679,2365679,3.62,1.167,313.2032,"May 29, 14",-0.17722946220206107
2014-05-30,314.43,314.65,307.57,312.55,4260624,4260624,-1.23,-0.392,310.9386,"May 30, 14",-0.18045467656082018
2014-06-02,312.59,312.6,307,308.84,2205909,2205909,-3.71,-1.187,308.7499,"Jun 2, 14",-0.19018276214699642
2014-06-03,305.75,307.92,305.07,307.19,2379273,2379273,-1.65,-0.534,306.4585,"Jun 3, 14",-0.19450926921362457
2014-06-04,306.85,309.5,303.84,306.78,2111176,2111176,-0.41,-0.133,307.318,"Jun 4, 14",-0.19558434066654437
2014-06-05,308.1,327.94,306.9,323.57,7803760,7803760,16.79,5.473,320.0487,"Jun 5, 14",-0.15155885360673366
2014-06-06,325,330.88,324.93,329.67,5246723,5246723,6.1,1.885,328.6524,"Jun 6, 14",-0.13556388808768385
2014-06-09,331.57,333,325.65,327.5,3212755,3212755,-2.17,-0.658,328.7568,"Jun 9, 14",-0.1412539004116737
2014-06-10,327.65,335.5,327.5,332.41,3668904,3668904,4.91,1.499,332.8968,"Jun 10, 14",-0.12837926423158608
2014-06-11,336,340.7199,333.8772,335.2,4439178,4439178,2.79,0.839,337.0903,"Jun 11, 14",-0.1210635341007421
2014-06-12,335.55,335.55,324.66,325.91,4276316,4276316,-9.29,-2.771,328.6684,"Jun 12, 14",-0.1454230799486063
2014-06-13,327.05,329.298,323.5262,326.27,2766909,2766909,0.36,0.11,326.4128,"Jun 13, 14",-0.14447911477043296
2014-06-16,324.86,328.6945,323.52,327.62,2449843,2449843,1.35,0.414,326.0382,"Jun 16, 14",-0.14093924535228256
2014-06-17,327.54,331.34,325.23,325.62,2924058,2924058,-2,-0.61,347.7035,"Jun 17, 14",-0.14618349634213493
2014-06-18,328,335.75,325,334.38,6409334,6409334,8.76,2.69,331.1751,"Jun 18, 14",-0.12321367700658156
2014-06-19,335.255,338.9,325.98,327,5327002,5327002,-7.38,-2.207,330.6208,"Jun 19, 14",-0.1425649631591368
2014-06-20,327.76,328.22,320.42,324.2,6056210,6056210,-2.8,-0.856,323.7924,"Jun 20, 14",-0.14990691454493016
2014-06-23,323.33,327.55,321.41,327.24,2609628,2609628,3.04,0.938,325.0105,"Jun 23, 14",-0.1419356530403545
2014-06-24,327.54,329.73,322.738,324.16,2627978,2627978,-3.08,-0.941,327.9327,"Jun 24, 14",-0.1500117995647271
2014-06-25,324.33,328.15,321.74,327.44,2328006,2328006,3.28,1.012,325.3129,"Jun 25, 14",-0.1414112279413693
2014-06-26,328.49,328.65,322.13,325.69,2699908,2699908,-1.75,-0.534,324.3897,"Jun 26, 14",-0.14599994755749013
2014-06-27,325.88,326.52,323.27,324.57,2419626,2419626,-1.12,-0.344,327.7336,"Jun 27, 14",-0.14893672811180747
2014-06-30,324.98,326.98,322.24,324.78,2672165,2672165,0.21,0.065,324.7247,"Jun 30, 14",-0.14838608175787302
2014-07-01,325.86,333.2,325.1,332.39,3178548,3178548,7.61,2.343,330.6677,"Jul 1, 14",-0.12843170674148469
2014-07-02,333.2,336.76,331.66,332.85,2681578,2681578,0.46,0.138,333.8829,"Jul 2, 14",-0.12722552901381856
2014-07-03,334.83,338.3,333.08,337.492,1944300,1944300,4.642,1.395,336.4918,"Jul 3, 14",-0.1150536224663712
2014-07-07,337.5,337.55,332.52,333.55,2130028,2130028,-3.942,-1.168,334.0745,"Jul 7, 14",-0.12539004116737026
2014-07-08,333.1,333.7397,321.4,323.81,4275447,4275447,-9.74,-2.92,324.6815,"Jul 8, 14",-0.15092954348795135
2014-07-09,324.71,330.2,323.15,329.97,3167133,3167133,6.16,1.902,328.1193,"Jul 9, 14",-0.13477725043920596
2014-07-10,324.34,329.98,322.65,327.92,2665753,2665753,-2.05,-0.621,326.7148,"Jul 10, 14",-0.14015260770380467
2014-07-11,334.71,347,334.71,346.2,8309079,8309079,18.28,5.575,342.5433,"Jul 11, 14",-0.09222015365655405
2014-07-14,347.03,355.77,345.356,355.32,5615482,5615482,9.12,2.634,352.6137,"Jul 14, 14",-0.0683063691428272
2014-07-15,353.72,355.59,349.4,354.44,4176758,4176758,-0.88,-0.248,353.2359,"Jul 15, 14",-0.07061383957836223
2014-07-16,355.62,359.32,353,355.9,3505023,3505023,1.46,0.412,356.8657,"Jul 16, 14",-0.06678553635577006
2014-07-17,353.44,356.96,351.38,352.454,3640290,3640290,-3.446,-0.968,353.6765,"Jul 17, 14",-0.07582138081128562
2014-07-18,354.4,359.68,352.08,358.66,3410032,3410032,6.206,1.761,356.4025,"Jul 18, 14",-0.05954846998977366
2014-07-21,358.1,361.71,356.72,359.76,2282741,2282741,1.1,0.307,358.9687,"Jul 21, 14",-0.05666413194535494
2014-07-22,355.25,362.93,355.25,360.84,2889366,2889366,1.08,0.3,360.106,"Jul 22, 14",-0.0538322364108347
2014-07-23,359.05,360.63,356.62,358.14,2688761,2688761,-2.7,-0.748,358.1386,"Jul 23, 14",-0.060911975247135375
2014-07-24,359.98,364.85,358.52,358.61,7088655,7088655,0.47,0.131,360.1617,"Jul 24, 14",-0.059679576264519994
2014-07-25,317.3,324.87,314.76,324.01,17855141,17855141,-34.6,-9.648,320.14,"Jul 25, 14",-0.15040511838896614
2014-07-28,324.25,324.82,316.5,320.41,5933999,5933999,-3.6,-1.111,319.3565,"Jul 28, 14",-0.1598447701707003
2014-07-29,321.98,322.8999,319.5,320,2885644,2885644,-0.41,-0.128,321.3451,"Jul 29, 14",-0.1609198416236201
2014-07-30,321.45,322.73,318.5,322.51,3973213,3973213,2.51,0.784,320.9783,"Jul 30, 14",-0.15433830663135542
2014-07-31,320.01,320.6836,311.86,312.99,5193770,5193770,-9.52,-2.952,314.9964,"Jul 31, 14",-0.17930094134305266
2014-08-01,313.69,315.83,304.588,307.06,7443091,7443091,-5.93,-1.895,308.324,"Aug 1, 14",-0.19485014552796498
2014-08-04,308.84,316.18,308.5,313.65,4208660,4208660,6.59,2.146,313.4083,"Aug 4, 14",-0.17757033851640147
2014-08-05,313.3,314.55,310.06,312.32,2856294,2856294,-1.33,-0.424,312.0045,"Aug 5, 14",-0.18105776542465324
2014-08-06,310.83,315.78,310.2,313.89,2297476,2297476,1.57,0.503,314.0402,"Aug 6, 14",-0.17694102839761916
2014-08-07,315.21,315.8774,309.655,311.45,2936913,2936913,-2.44,-0.777,311.7459,"Aug 7, 14",-0.18333901460523905
2014-08-08,311.94,317.32,310.66,316.8,2708416,2708416,5.35,1.718,315.0735,"Aug 8, 14",-0.1693106432073839
