date,minute,label,high,low,average,volume,notional,numberOfTrades,marketHigh,marketLow,marketAverage,marketVolume,marketNotional,marketNumberOfTrades,open,close,marketOpen,marketClose,changeOverTime,marketChangeOverTime
20181123,09:30,09:30 AM,1522.62,1515.04,1517.235,1576,2391162.435,24,1527.55,1514.13,1517.433,129823,196997726.6294,1219,1515.6,1522.19,1516.87,1523.69,0,0
20181123,09:31,09:31 AM,1531.05,1529.525,1531.03,102,156165.04,3,1533,1524.59,1529.202,46955,71803671.4,1085,1531.05,1530.515,1524.74,1530.82,0.00909219731946605,0.007755861379052654
20181123,09:32,09:32 AM,1533.485,1529.61,1531.769,185,283377.265,6,1534,1527,1530.913,48602,74405438.3173,1109,1529.61,1533.485,1530.183,1527,0.009579267549193174,0.008883423518534274
20181123,09:33,09:33 AM,1527.73,1526.87,1527.554,98,149700.34,2,1530.18,1524.01,1526.601,34664,52918096.5197,771,1527.73,1526.87,1527,1527.66,0.0068011876868119886,0.006041782404890443
20181123,09:34,09:34 AM,1531.68,1527,1528.947,824,1259851.995,5,1533,1525,1529.013,41609,63620716.4406,810,1527,1531.68,1527,1530.86,0.0077193051834422415,0.007631308927642886
20181123,09:35,09:35 AM,1534.08,1530.36,1532.918,1321,2024984.7,12,1535.82,1529.296,1533.022,43412,66551532.145,892,1530.36,1531.86,1530.879,1532.94,0.010336566187835104,0.010273270714423598
20181123,09:36,09:36 AM,1533.97,1531.38,1532.707,200,306541.5,4,1535.35,1468,1533.062,30073,46103786.3824,668,1533.94,1531.38,1533,1535.098,0.010197497421296112,0.010299631021600232
20181123,09:37,09:37 AM,1535.61,1533.46,1534.547,204,313047.66,5,1536.2,1532.964,1534.802,28377,43553082.9128,702,1533.46,1533.87,1535.094,1534.04,0.011410229793011713,0.011446304383784928
20181123,09:38,09:38 AM,1534.73,1533.37,1534.044,425,651968.9,7,1535.56,1532.5,1534.106,35366,54255203.0738,711,1533.81,1534.73,1533.479,1535.22,0.011078705671830795,0.01098763503891111
20181123,09:39,09:39 AM,1534.15,1531.6,1532.612,800,1226090,7,1534.59,1527.665,1530.803,27514,42118514.845,666,1534.15,1532,1534.59,1531,0.010134883521669472,0.008810932673798526
20181123,09:40,09:40 AM,1530.69,1530.365,1530.527,100,153052.75,2,1531.88,1529.32,1530.671,15922,24371346.8869,352,1530.365,1530.69,1529.45,1531.39,0.008760673198285133,0.008723943660115509
20181123,09:41,09:41 AM,1529.32,1527.17,1528.555,131,200240.74,6,1531.4,1526,1528.176,23138,35358935.2648,451,1529.32,1527.17,1530.91,1527.414,0.0074609404607725,0.007079719499971293
20181123,09:42,09:42 AM,1527.01,1526.54,1526.789,178,271768.52,6,1530,1526.26,1527.567,14861,22701167.8174,300,1527.01,1526.54,1527.995,1526.824,0.006296981021397534,0.006678383823206701
20181123,09:43,09:43 AM,1529.6,1528.01,1528.892,250,382223,3,1530.5,1526.51,1528.711,21644,33087425.5964,464,1529.42,1529.6,1526.959,1530,0.0076830550310269365,0.007432288608459167
20181123,09:44,09:44 AM,-1,-1,-1,0,0,0,1530.57,1527.21,1528.869,11311,17293035.9686,288,,,1529.66,1529.26,,0.007536411821806908
20181123,09:45,09:45 AM,1528.37,1528.37,1528.37,3,4585.11,1,1532.12,1528.06,1530.613,16933,25917869.4491,501,1528.37,1528.37,1528.54,1530.953,0.007339008129920541,0.008685721214709357
20181123,09:46,09:46 AM,-1,-1,-1,0,0,0,1534.5,1530.06,1533.065,17104,26221541.8991,568,,,1530.72,1533.04,,0.010301608044638585
20181123,09:47,09:47 AM,1533.515,1531.6,1532.635,551,844482.07,10,1533.99,1531.19,1532.631,15092,23130473.4381,389,1533.515,1531.695,1533.99,1532.05,0.010150042676315859,0.010015598711771849
20181123,09:48,09:48 AM,1532.41,1529.815,1531.888,810,1240829.6,9,1533,1529.428,1531.403,16366,25062950.1641,397,1532.185,1529.815,1532.202,1529.59,0.009657699697146468,0.009206337281448358
20181123,09:49,09:49 AM,1529.21,1528.255,1528.896,1200,1834675.5,7,1530.73,1528.02,1529.2,21937,33546061.9857,418,1528.825,1529.05,1529.51,1529.07,0.007685691405747995,0.007754543363693852
20181123,09:50,09:50 AM,1528.82,1527.895,1528.797,51,77968.645,3,1529.08,1524.015,1526.253,22085,33707292.4215,577,1528.82,1527.895,1529.08,1525.105,0.007620441131400295,0.0058124477324533845
20181123,09:51,09:51 AM,1528,1528,1528,100,152800,1,1529,1525.05,1526.584,12802,19543335.2707,364,1528,1528,1525.753,1528.14,0.007095143468216922,0.0060305792743403286
20181123,09:52,09:52 AM,1527.225,1527.225,1527.225,1,1527.225,1,1529.31,1526.26,1528.12,8974,13713349.3002,316,1527.225,1527.225,1528.32,1529,0.0065843458659996705,0.0070428150699239425
20181123,09:53,09:53 AM,-1,-1,-1,0,0,0,1532,1528,1530.099,18186,27826372.5826,417,,,1528.71,1531.46,,0.0083469912674892
20181123,09:54,09:54 AM,-1,-1,-1,0,0,0,1531.93,1528.11,1530.239,14883,22774550.0472,300,,,1531.38,1529.5,,0.008439252342607576
20181123,09:55,09:55 AM,1531.74,1529.65,1531.043,150,229656.5,3,1532.348,1528.97,1531.308,15942,24412109.8341,378,1529.65,1531.74,1530.093,1530,0.009100765537309641,0.009143731551903775
20181123,09:56,09:56 AM,1532.38,1532.38,1532.38,56,85813.28,1,1533.4,1530.02,1532.083,18623,28531982.5974,361,1532.38,1532.38,1530.21,1531.959,0.009981973787844474,0.009654462503451613
20181123,09:57,09:57 AM,1532.79,1532.79,1532.79,100,153279,1,1533.4,1530.81,1532.387,17530,26862735.3815,396,1532.79,1532.79,1531.5,1532.51,0.01025220219675928,0.009854800837994133
