date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2018-10-26,1649.59,1698.46,1603,1642.81,14963783,14963783,-139.36,-7.82,1643.36,Oct 26,0
2018-10-29,1660,1665.74,1495,1538.88,13866077,13866077,-103.93,-6.326,1571.1,Oct 29,-0.06326355451939046
2018-10-30,1486.16,1540.99,1476.36,1530.42,12460086,12460086,-8.46,-0.55,1512.02,Oct 30,-0.06841326751115459
2018-10-31,1569.99,1623.91,1565.09,1598.01,9390211,9390211,67.59,4.416,1598.56,Oct 31,-0.027270347757805197
2018-11-01,1623.53,1670.45,1598.44,1665.53,8135539,8135539,67.52,4.225,1637.45,Nov 1,0.013829962077172667
2018-11-02,1678.59,1697.44,1651.83,1665.53,6955548,6955548,0,0,1670.34,Nov 2,0.013829962077172667
2018-11-05,1657.57,1658.09,1596.36,1627.8,5624727,5624727,-37.73,-2.265,1619.08,Nov 5,-0.009136783925103932
2018-11-06,1618.35,1665,1614.55,1642.81,4257353,4257353,15.01,0.922,1643.05,Nov 6,0
2018-11-07,1673,1759.23,1664.08,1755.49,8192234,8192234,112.68,6.859,1723.75,Nov 7,0.06858979431583694
2018-11-08,1755,1784,1725.11,1754.91,6534866,6534866,-0.58,-0.033,1759.21,Nov 8,0.06823674070647254
2018-11-09,1732.5,1743.92,1701.87,1712.43,5902186,5902186,-42.48,-2.421,1717.08,Nov 9,0.04237860738612507
2018-11-12,1698.24,1708.55,1630.01,1636.85,6806245,6806245,-75.58,-4.414,1652.15,Nov 12,-0.0036279301927794674
2018-11-13,1649.29,1677.06,1613.75,1631.17,5933271,5933271,-5.68,-0.347,1645.49,Nov 13,-0.00708542071207253
2018-11-14,1656.32,1673,1597.07,1599.01,6486891,6486891,-32.16,-1.972,1624.38,Nov 14,-0.02666163463821133
2018-11-15,1581.01,1624.82,1546.51,1619.44,8427337,8427337,20.43,1.278,1586.55,Nov 15,-0.014225625604908596
2018-11-16,1587.5,1614.48,1573.12,1593.41,6066080,6066080,-26.03,-1.607,1594.16,Nov 16,-0.03007042810793693
2018-11-19,1577.01,1581.19,1503.36,1512.29,7789981,7789981,-81.12,-5.091,1534,Nov 19,-0.07944923636939145
2018-11-20,1437.5,1534.75,1420,1495.46,10878823,10878823,-16.83,-1.113,1490.5,Nov 20,-0.0896938781721562
2018-11-21,1542.99,1550,1515,1516.73,5716800,5716800,21.27,1.422,1530.86,Nov 21,-0.07674655011839467
2018-11-23,1517,1536.2,1501.81,1502.06,2707642,2707642,-14.67,-0.967,1518.34,Nov 23,-0.08567637158283672
