date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-11-27,1202.66,1213.41,1191.15,1195.83,6744045,6744045,9.83,0.829,1202.28,"Nov 27, 17",0
2017-11-28,1204.88,1205.34,1188.52,1193.6,4559449,4559449,-2.23,-0.186,1196.53,"Nov 28, 17",-0.001864813560455933
2017-11-29,1194.8,1194.8,1145.19,1161.27,9257512,9257512,-32.33,-2.709,1162.39,"Nov 29, 17",-0.02890042899074279
2017-11-30,1167.1,1178.57,1160,1176.75,4509208,4509208,15.48,1.333,1172.76,"Nov 30, 17",-0.015955445171972546
2017-12-01,1172.05,1179.65,1152,1162.35,4107094,4107094,-14.4,-1.224,1165.03,"Dec 1, 17",-0.027997290584782134
2017-12-04,1173.85,1175.2,1128,1133.95,5931915,5931915,-28.4,-2.443,1145.47,"Dec 4, 17",-0.05174648570448967
2017-12-05,1128.26,1159.27,1124.74,1141.57,4079774,4079774,7.62,0.672,1145.76,"Dec 5, 17",-0.045374342506878065
2017-12-06,1137.99,1155.89,1136.08,1152.35,2853316,2853316,10.78,0.944,1148.78,"Dec 6, 17",-0.03635968323256652
2017-12-07,1156.59,1163.19,1151,1159.79,2511569,2511569,7.44,0.646,1158.45,"Dec 7, 17",-0.030138063102614892
2017-12-08,1170.4,1172.79,1157.1,1162,3050074,3050074,2.21,0.191,1165.73,"Dec 8, 17",-0.028289974327454514
2017-12-11,1164.6,1169.9,1157,1168.92,2363473,2363473,6.92,0.596,1165.83,"Dec 11, 17",-0.022503198615187656
2017-12-12,1166.51,1173.6,1161.61,1165.08,2235892,2235892,-3.84,-0.329,1167.19,"Dec 12, 17",-0.025714357391936983
2017-12-13,1170,1170.87,1160.27,1164.13,2616760,2616760,-0.95,-0.082,1164.74,"Dec 13, 17",-0.026508784693476346
2017-12-14,1163.71,1177.93,1162.45,1174.26,3214337,3214337,10.13,0.87,1173.02,"Dec 14, 17",-0.018037680941270864
2017-12-15,1179.03,1182.75,1169.33,1179.14,4778621,4778621,4.88,0.416,1178.15,"Dec 15, 17",-0.013956833329151994
2017-12-18,1187.37,1194.78,1180.91,1190.58,2947625,2947625,11.44,0.97,1189.72,"Dec 18, 17",-0.004390256140086802
2017-12-19,1189.15,1192.97,1179.14,1187.38,2587792,2587792,-3.2,-0.269,1185.15,"Dec 19, 17",-0.007066221787377653
2017-12-20,1190.5,1191,1176,1177.62,2371166,2371166,-9.76,-0.822,1180.33,"Dec 20, 17",-0.015227917011615395
2017-12-21,1175.9,1179.17,1167.64,1174.76,2123117,2123117,-2.86,-0.243,1174.27,"Dec 21, 17",-0.017619561308881645
2017-12-22,1172.08,1174.62,1167.83,1168.36,1585054,1585054,-6.4,-0.545,1170.12,"Dec 22, 17",-0.022971492603463727
2017-12-26,1168.36,1178.32,1160.55,1176.76,2005187,2005187,8.4,0.719,1171.53,"Dec 26, 17",-0.01594708277932477
2017-12-27,1179.91,1187.29,1175.61,1182.26,1867208,1867208,5.5,0.467,1182.65,"Dec 27, 17",-0.011347766823043356
2017-12-28,1189,1190.1,1184.38,1186.1,1841676,1841676,3.84,0.325,1186.63,"Dec 28, 17",-0.008136608046294222
2017-12-29,1182.35,1184,1167.5,1169.47,2688391,2688391,-16.63,-1.402,1174.7,"Dec 29, 17",-0.022043267019559554
2018-01-02,1172,1190,1170.51,1189.01,2694494,2694494,19.54,1.671,1184.27,"Jan 2, 18",-0.005703151785788897
2018-01-03,1188.3,1205.49,1188.3,1204.2,3108793,3108793,15.19,1.278,1199.91,"Jan 3, 18",0.006999322646195629
2018-01-04,1205,1215.87,1204.66,1209.59,3022089,3022089,5.39,0.448,1210.12,"Jan 4, 18",0.011506652283351305
2018-01-05,1217.51,1229.14,1210,1229.14,3544743,3544743,19.55,1.616,1221.68,"Jan 5, 18",0.02785512990976993
2018-01-08,1236,1253.08,1232.03,1246.87,4279475,4279475,17.73,1.442,1244.41,"Jan 8, 18",0.04268165207429147
2018-01-09,1256.9,1259.33,1241.76,1252.7,3661316,3661316,5.83,0.468,1250.63,"Jan 9, 18",0.047556926987949895
2018-01-10,1245.15,1254.33,1237.23,1254.33,2686017,2686017,1.63,0.13,1248.27,"Jan 10, 18",0.04891999698953865
2018-01-11,1259.74,1276.77,1256.46,1276.68,3125048,3125048,22.35,1.782,1266.15,"Jan 11, 18",0.06760994455733686
2018-01-12,1273.39,1305.76,1273.39,1305.2,5443730,5443730,28.52,2.234,1297.55,"Jan 12, 18",0.09145948838881791
2018-01-16,1323,1339.94,1292.3,1304.86,7220701,7220701,-0.34,-0.026,1318.72,"Jan 16, 18",0.09117516703879312
2018-01-17,1312.24,1314,1280.88,1295,5253754,5253754,-9.86,-0.756,1295.03,"Jan 17, 18",0.0829298478880778
2018-01-18,1293.95,1304.6,1284.02,1293.32,4026915,4026915,-1.68,-0.13,1295.09,"Jan 18, 18",0.08152496592324997
2018-01-19,1312,1313,1292.99,1294.58,4578536,4578536,1.26,0.097,1299.95,"Jan 19, 18",0.0825786273968708
2018-01-22,1297.17,1327.45,1296.66,1327.31,4140061,4140061,32.73,2.528,1314.43,"Jan 22, 18",0.1099487385330691
2018-01-23,1338.09,1364.9,1337.34,1362.54,5169306,5169306,35.23,2.654,1351.57,"Jan 23, 18",0.1394094478312135
2018-01-24,1374.82,1388.16,1338,1357.51,6807457,6807457,-5.03,-0.369,1362.2,"Jan 24, 18",0.13520316432937798
2018-01-25,1368,1378.34,1357.62,1377.95,4753012,4753012,20.44,1.506,1369.92,"Jan 25, 18",0.15229589490144932
2018-01-26,1392.01,1402.53,1380.91,1402.05,4857310,4857310,24.1,1.749,1395.91,"Jan 26, 18",0.17244926118260961
2018-01-29,1409.18,1431.39,1400.44,1417.68,5701898,5701898,15.63,1.115,1416.7,"Jan 29, 18",0.1855196808910967
2018-01-30,1403.17,1439.25,1392,1437.82,5871942,5871942,20.14,1.421,1420.89,"Jan 30, 18",0.20236153968373433
2018-01-31,1451.3,1472.58,1450.04,1450.89,6424693,6424693,13.07,0.909,1459.87,"Jan 31, 18",0.21329118687438867
2018-02-01,1445,1459.88,1385.14,1390,9113808,9113808,-60.89,-4.197,1424.91,"Feb 1, 18",0.16237257804202945
2018-02-02,1477.39,1498,1414,1429.95,11125722,11125722,39.95,2.874,1457.98,"Feb 2, 18",0.1957803366699281
2018-02-05,1402.62,1458.98,1320.72,1390,11494985,11494985,-39.95,-2.794,1419.81,"Feb 5, 18",0.16237257804202945
2018-02-06,1361.46,1443.99,1351.79,1442.84,11066819,11066819,52.84,3.801,1407.04,"Feb 6, 18",0.2065594607929221
2018-02-07,1449,1460.99,1415.15,1416.78,7162741,7162741,-26.06,-1.806,1442.35,"Feb 7, 18",0.184767065552796
2018-02-08,1429.67,1433.75,1349.94,1350.5,8578557,8578557,-66.28,-4.678,1386.1,"Feb 8, 18",0.12934112708328113
2018-02-09,1373.49,1383.5,1265.93,1339.6,14141524,14141524,-10.9,-0.807,1322.89,"Feb 9, 18",0.12022611909719608
2018-02-12,1364.67,1393.81,1344.01,1386.23,6738944,6738944,46.63,3.481,1373,"Feb 12, 18",0.15921995601381475
2018-02-13,1385.93,1419.72,1383.53,1414.51,5917879,5917879,28.28,2.04,1408.14,"Feb 13, 18",0.18286880242174897
2018-02-14,1406.25,1452.06,1403.36,1451.05,5959209,5959209,36.54,2.583,1434.84,"Feb 14, 18",0.2134249851567531
2018-02-15,1466.89,1468.94,1436.84,1461.76,5652736,5652736,10.71,0.738,1458.53,"Feb 15, 18",0.2223811076825302
2018-02-16,1457.37,1465.8,1446.56,1448.69,4472564,4472564,-13.07,-0.894,1455.35,"Feb 16, 18",0.21145146049187605
2018-02-20,1446.49,1488.77,1446.49,1468.35,6499228,6499228,19.66,1.357,1468.67,"Feb 20, 18",0.22789192443742004
2018-02-21,1485,1503.49,1478.92,1482.92,6304351,6304351,14.57,0.992,1491.4,"Feb 21, 18",0.240075930525242
2018-02-22,1495.36,1502.54,1475.76,1485.34,4858063,4858063,2.42,0.163,1488.92,"Feb 22, 18",0.24209962954600572
2018-02-23,1495.34,1500,1486.5,1500,4418103,4418103,14.66,0.987,1494.78,"Feb 23, 18",0.2543588971676577
2018-02-26,1509.2,1522.84,1507,1521.95,4954988,4954988,21.95,1.463,1517.06,"Feb 26, 18",0.27271434902954445
2018-02-27,1524.5,1526.78,1507.21,1511.98,4808776,4808776,-9.97,-0.655,1517.96,"Feb 27, 18",0.2643770435597034
2018-02-28,1519.51,1528.7,1512,1512.45,4515023,4515023,0.47,0.031,1519.56,"Feb 28, 18",0.26477007601414926
2018-03-01,1513.6,1518.49,1465,1493.45,6835230,6835230,-19,-1.256,1493.96,"Mar 1, 18",0.24888152998335894
2018-03-02,1469.1,1501.05,1455.01,1500.25,6587564,6587564,6.8,0.455,1480.64,"Mar 2, 18",0.2545679569838523
2018-03-05,1494.24,1525.38,1481,1523.61,5233934,5233934,23.36,1.557,1509,"Mar 5, 18",0.27410250620907656
2018-03-06,1533.2,1542.13,1528,1537.64,4561718,4561718,14.03,0.921,1535.85,"Mar 6, 18",0.2858349430939182
2018-03-07,1526.52,1545.9,1522.51,1545,4174123,4174123,7.36,0.479,1536.92,"Mar 7, 18",0.2919896640826874
2018-03-08,1550,1554.88,1545.25,1551.86,3862615,3862615,6.86,0.444,1550.8,"Mar 8, 18",0.29772626543906744
2018-03-09,1563.5,1578.94,1559.08,1578.89,4534250,4534250,27.03,1.742,1569.02,"Mar 9, 18",0.3203298127660288
2018-03-12,1592.6,1605.33,1586.7,1598.39,5174211,5174211,19.5,1.235,1598.03,"Mar 12, 18",0.33663647842920835
2018-03-13,1615.96,1617.54,1578.01,1588.18,6531892,6531892,-10.21,-0.639,1595.64,"Mar 13, 18",0.32809847553582044
2018-03-14,1597,1606.44,1590.89,1591,4259443,4259443,2.82,0.178,1597.75,"Mar 14, 18",0.3304566702624956
2018-03-15,1595,1596.91,1578.11,1582.32,4069701,4069701,-8.68,-0.546,1583.95,"Mar 15, 18",0.32319811344421867
2018-03-16,1583.45,1589.44,1567.5,1571.68,5425012,5425012,-10.64,-0.672,1575.86,"Mar 16, 18",0.3143005276669762
2018-03-19,1554.53,1561.66,1525.35,1544.93,6580766,6580766,-26.75,-1.702,1542.45,"Mar 19, 18",0.291931127334153
