date,minute,label,high,low,average,volume,notional,numberOfTrades,marketHigh,marketLow,marketAverage,marketVolume,marketNotional,marketNumberOfTrades,open,close,marketOpen,marketClose,changeOverTime,marketChangeOverTime
20181123,09:30,09:30 AM,174.94,174.22,174.708,8241,1439766.27,96,175,174,174.786,1523593,266303578.5457,5956,174.88,174.63,174.9,174.68,0,0
20181123,09:31,09:31 AM,175.38,174.71,175.083,4975,871040.07,53,175.4,174,175.086,387063,67769466.7141,2434,174.71,175.2,174.68,175.17,0.002146438629026719,0.0017163846074629053
20181123,09:32,09:32 AM,175.65,175.16,175.377,2411,422833.94,26,175.7,174.373,175.444,227930,39988879.0383,1665,175.19,175.44,175.185,175.37,0.0038292465141837304,0.0037646035723684222
20181123,09:33,09:33 AM,175.44,175.11,175.24,3395,594941.715,40,175.48,174.04,175.248,144555,25333029.9201,1301,175.35,175.43,175.42,175.426,0.0030450809350459664,0.0026432322954927116
20181123,09:34,09:34 AM,176.09,175.33,175.661,3597,631851.22,39,176.09,174.06,175.668,216354,38006434.0567,1382,175.5,176.09,175.425,176.047,0.005454816035899919,0.005046170745940779
20181123,09:35,09:35 AM,176.03,175.61,175.883,2332,410159.69,28,176.03,175.035,175.847,168113,29562254.0483,1364,176.03,175.75,175.99,175.83,0.006725507704283784,0.006070280228393619
20181123,09:36,09:36 AM,175.88,175.71,175.794,1173,206205.96,14,175.91,175.66,175.779,81157,14265725.4689,566,175.88,175.85,175.84,175.885,0.006216086269661451,0.005681233050701973
20181123,09:37,09:37 AM,176.18,175.8,176.09,1521,267833.14,16,176.23,175.716,176.083,141794,24967460.9982,964,175.8,176.06,175.86,176.052,0.007910341827506497,0.0074205027862643295
20181123,09:38,09:38 AM,176.4,176.07,176.211,5149,907312.74,35,176.43,176.04,176.267,171015,30144284.6924,1089,176.14,176.34,176.075,176.41,0.00860292602513917,0.008473218678841524
20181123,09:39,09:39 AM,176.32,176,176.213,3965,698683.99,27,176.42,175.95,176.224,175549,30936000.3988,1124,176.32,176.07,176.4,176.05,0.008614373697827206,0.008227203551771813
