date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2018-10-26,215.1493,219.4244,211.9305,215.5479,47258375,47258375,-3.4878,-1.592,215.4815,Oct 26,0
2018-10-29,218.4279,218.9261,205.3734,211.502,45935520,45935520,-4.0459,-1.877,213.8345,Oct 29,-0.018770305811376446
2018-10-30,210.4158,214.4318,208.5424,212.5584,36659990,36659990,1.0563,0.499,212.0577,Oct 30,-0.013869307007862255
2018-10-31,216.1259,219.6835,215.8668,218.099,38358933,38358933,5.5407,2.607,218.1614,Oct 31,0.011835420340444009
2018-11-01,218.2884,221.5869,216.0562,221.4473,58323180,58323180,3.3483,1.535,218.8588,Nov 1,0.027369322549651444
2018-11-02,208.8214,212.9071,204.7157,206.7586,91328654,91328654,-14.6887,-6.633,207.2844,Nov 2,-0.04077655129091955
2018-11-05,203.5896,203.6793,197.481,200.8891,66163669,66163669,-5.8695,-2.839,200.1058,Nov 5,-0.06800715757379211
2018-11-06,201.2179,204.0082,200.9887,203.0615,31882881,31882881,2.1724,1.081,202.542,Nov 6,-0.05792865530121149
2018-11-07,205.2538,209.3296,203.4202,209.22,33424434,33424434,6.1585,3.033,206.5064,Nov 7,-0.029357279750811767
2018-11-08,209.98,210.12,206.75,208.49,25362636,25362636,-0.730004,-0.349,208.0776,Nov 8,-0.03274399796982476
2018-11-09,205.55,206.01,202.25,204.47,34365750,34365750,-4.02,-1.928,204.1159,Nov 9,-0.051394144874526725
2018-11-12,199,199.85,193.79,194.17,51135518,51135518,-10.3,-5.037,195.5708,Nov 12,-0.0991793471427929
2018-11-13,191.63,197.18,191.4501,192.23,46882936,46882936,-1.94,-0.999,193.7888,Nov 13,-0.1081796667933207
2018-11-14,193.9,194.48,185.93,186.8,60800957,60800957,-5.43,-2.825,188.6527,Nov 14,-0.13337128313474633
2018-11-15,188.39,191.97,186.9,191.41,46478801,46478801,4.61,2.468,189.8177,Nov 15,-0.11198392561467777
2018-11-16,190.5,194.9695,189.46,193.53,36928253,36928253,2.12,1.108,193.1617,Nov 16,-0.1021485247594618
2018-11-19,190,190.7,184.99,185.86,41920872,41920872,-7.67,-3.963,186.9198,Nov 19,-0.13773226275922884
2018-11-20,178.37,181.47,175.51,176.98,67825247,67825247,-8.88,-4.778,178.4357,Nov 20,-0.17892960219051082
2018-11-21,179.73,180.27,176.55,176.78,31124210,31124210,-0.2,-0.113,177.9581,Nov 21,-0.17985747019571982
2018-11-23,174.94,176.595,172.1,172.29,23623972,23623972,-4.49,-2.54,173.9189,Nov 23,-0.20068810691266306
