date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-11-27,172.4608,172.4903,170.7761,171.515,20716802,20716802,-0.866983,-0.503,171.6682,"Nov 27, 17",0
2017-11-28,171.7219,172.2834,169.318,170.5101,26428802,26428802,-1.0049,-0.586,170.6396,"Nov 28, 17",-0.005858962772935267
2017-11-29,170.0766,170.3623,164.6875,166.9732,41666364,41666364,-3.5369,-2.074,166.8958,"Nov 29, 17",-0.02648048275661018
2017-11-30,167.9091,169.5938,165.9485,169.3081,41527218,41527218,2.3349,1.398,168.545,"Nov 30, 17",-0.012867096172346387
2017-12-01,167.4362,169.1308,166.0077,168.5199,39759288,39759288,-0.788167,-0.466,167.8984,"Dec 1, 17",-0.017462612599480978
2017-12-04,169.9288,170.0667,167.1209,167.2884,32542385,32542385,-1.2315,-0.731,168.4534,"Dec 4, 17",-0.024642742617263742
2017-12-05,166.5594,168.983,165.9091,167.1308,27350154,27350154,-0.157633,-0.094,167.6869,"Dec 5, 17",-0.025561612686936963
2017-12-06,165.0224,167.6871,163.9978,166.5101,28560000,28560000,-0.620683,-0.371,166.4415,"Dec 6, 17",-0.029180538145351674
2017-12-07,166.5298,167.919,166.4116,166.8155,25673308,25673308,0.305416,0.183,167.121,"Dec 7, 17",-0.027399935865667732
2017-12-08,167.9682,168.4707,166.3229,166.8648,23355231,23355231,0.04926,0.03,167.2562,"Dec 8, 17",-0.0271124974492026
2017-12-11,166.6973,170.3327,166.2934,170.116,35273759,35273759,3.2512,1.948,169.168,"Dec 11, 17",-0.008156720986502478
2017-12-12,169.6037,169.8401,168.9249,169.1603,19409230,19409230,-0.955653,-0.562,169.3547,"Dec 12, 17",-0.013728828382357111
2017-12-13,169.9485,170.9731,169.4559,169.7219,23818447,23818447,0.56157,0.332,170.2076,"Dec 13, 17",-0.010454479200069856
2017-12-14,169.85,170.5692,169.1111,169.6726,20476541,20476541,-0.049261,-0.029,169.7298,"Dec 14, 17",-0.010741917616534985
2017-12-15,171.0618,171.5938,169.9091,171.3967,40169307,40169307,1.7241,1.016,170.9573,"Dec 15, 17",-0.0006897355916390785
2017-12-18,172.2933,174.579,172.2736,173.8105,29421114,29421114,2.4138,1.408,173.7731,"Dec 18, 17",0.01338366906684549
2017-12-19,172.4411,172.7957,171.515,171.9583,27436447,27436447,-1.8522,-1.066,172.0233,"Dec 19, 17",0.002584613590648177
2017-12-20,172.2834,172.8253,170.6874,171.7711,23475649,23475649,-0.18719,-0.109,171.6591,"Dec 20, 17",0.0014931638632189811
2017-12-21,171.5938,173.4164,171.5248,172.4214,20949896,20949896,0.650237,0.379,172.649,"Dec 21, 17",0.00528466897938967
2017-12-22,172.0962,172.8292,171.9189,172.4214,16349444,16349444,0,0,172.4368,"Dec 22, 17",0.00528466897938967
2017-12-26,168.2736,168.9337,167.1692,168.047,33185536,33185536,-4.3743,-2.537,167.9134,"Dec 26, 17",-0.020219805847884964
2017-12-27,167.584,168.2539,167.1998,168.0766,21498213,21498213,0.029556,0.018,167.7275,"Dec 27, 17",-0.020047226190128987
2017-12-28,168.4707,169.3081,167.9584,168.5495,16480187,16480187,0.472901,0.281,168.6257,"Dec 28, 17",-0.017290032941725167
2017-12-29,167.9978,168.0667,166.717,166.7269,25999922,25999922,-1.8226,-1.081,167.2376,"Dec 29, 17",-0.02791650876016667
2018-01-02,167.6431,169.7514,166.7564,169.712,25555934,25555934,2.9852,1.79,168.7778,"Jan 2, 18",-0.01051220009911668
2018-01-03,169.978,171.9682,169.4165,169.6825,29517899,29517899,-0.029556,-0.017,170.5535,"Jan 3, 18",-0.010684196717488161
2018-01-04,169.9879,170.9041,169.5347,170.4707,22434597,22434597,0.788167,0.464,170.4129,"Jan 4, 18",-0.006088680290353571
2018-01-05,170.8746,172.776,170.4904,172.4115,23660018,23660018,1.9409,1.139,172.0884,"Jan 5, 18",0.0052269480803428464
2018-01-08,171.7711,173.0125,171.3573,171.7711,20567766,20567766,-0.640387,-0.371,172.0453,"Jan 8, 18",0.0014931638632189811
