date,minute,label,high,low,average,volume,notional,numberOfTrades,marketHigh,marketLow,marketAverage,marketVolume,marketNotional,marketNumberOfTrades,open,close,marketOpen,marketClose,changeOverTime,marketChangeOverTime
20190226,09:30,09:30 AM,164.53,164.18,164.349,769,126384.42,8,164.55,164.04,164.237,540068,88698936.6168,871,164.445,164.53,164.34,164.51,0,0
20190226,09:31,09:31 AM,164.55,164.31,164.46,618,101636.32,9,164.55,164.22,164.417,60014,9867317.8778,504,164.55,164.31,164.54,164.232,0.0006753920011683578,0.0010959771549651225
20190226,09:32,09:32 AM,164.26,164.26,164.26,100,16426,1,164.31,164.01,164.206,54886,9012635.1677,551,164.26,164.26,164.27,164.229,-0.0005415305234592157,-0.00018875162113291105
20190226,09:33,09:33 AM,165.12,164.45,164.829,1131,186422.14,9,165.16,164.23,164.81,124365,20496636.743,994,164.54,165.12,164.26,165.02,0.002920614059106038,0.00348886060997222
20190226,09:34,09:34 AM,164.97,164.6,164.845,682,112424.12,6,165.18,164.6,164.883,77234,12734594.4674,664,164.97,164.9,165.035,164.763,0.0030179678610761816,0.003933340233930326
20190226,09:35,09:35 AM,164.88,164.68,164.756,618,101819.14,7,164.98,164.52,164.749,56609,9326296.6835,605,164.88,164.73,164.757,164.842,0.002476437337616966,0.0031174461296784553
20190226,09:36,09:36 AM,164.89,164.47,164.577,739,121622.21,8,165.05,164.47,164.717,67723,11155142.2401,585,164.89,164.7,164.897,164.623,0.001387291678075368,0.00292260574657366
20190226,09:37,09:37 AM,164.69,164.63,164.67,300,49401,3,164.83,164.382,164.63,66158,10891606.6558,535,164.69,164.69,164.6,164.755,0.0019531606520270762,0.0023928834550070977
20190226,09:38,09:38 AM,164.91,164.63,164.782,2238,368781.54,21,164.94,164.52,164.771,60103,9903232.8717,505,164.8,164.91,164.78,164.91,0.0026346372658186006,0.0032513988930630237
20190226,09:39,09:39 AM,165.19,164.79,164.91,914,150727.38,12,165.33,164.717,165.08,78296,12925108.2865,713,164.85,165.19,164.876,165.25,0.003413467681580095,0.005132826342419904
20190226,09:40,09:40 AM,165.25,165.05,165.119,2628,433933.89,19,165.32,165,165.183,69432,11468970.7184,601,165.25,165.22,165.288,165.25,0.004685151719815821,0.005759968825538691
20190226,09:41,09:41 AM,165.37,165.155,165.207,1701,281016.75,13,165.38,165.125,165.249,54632,9027908.1602,499,165.29,165.215,165.245,165.224,0.00522059763065187,0.006161827115692569
20190226,09:42,09:42 AM,165.38,165.13,165.272,985,162792.76,10,165.39,165,165.222,64362,10634003.091,510,165.245,165.13,165.25,165.07,0.005616097451155783,0.005997430542447888
