date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-02-26,70.19,71.22,68.85,69.26,55400399,55400399,-0.59,-0.845,70.0704,"Feb 26, 14",0
2014-02-27,69.34,70.01,68.87,68.94,41695855,41695855,-0.32,-0.462,69.3831,"Feb 27, 14",-0.004620271440947262
2014-02-28,69.47,69.88,67.38,68.46,66900863,66900863,-0.48,-0.696,68.5867,"Feb 28, 14",-0.011550678602368053
2014-03-03,66.96,68.05,66.51,67.41,56811349,56811349,-1.05,-1.534,67.3943,"Mar 3, 14",-0.026710944267975864
2014-03-04,68.66,68.9,67.62,68.8,42164222,42164222,1.39,2.062,68.4781,"Mar 4, 14",-0.006641640196361651
2014-03-05,69.69,71.97,69.62,71.57,74649486,74649486,2.77,4.026,71.0203,"Mar 5, 14",0.03335258446433711
2014-03-06,71.88,71.89,70.25,70.84,46126260,46126260,-0.73,-1.02,71.357,"Mar 6, 14",0.022812590239676554
2014-03-07,71.08,71.18,69.47,69.8,38985763,38985763,-1.04,-1.468,70.0143,"Mar 7, 14",0.00779670805659821
2014-03-10,70.77,72.15,70.51,72.03,59949746,59949746,2.23,3.195,71.7255,"Mar 10, 14",0.039994224660698754
2014-03-11,72.5,72.59,69.96,70.1,59615238,59615238,-1.93,-2.679,71.4696,"Mar 11, 14",0.012128212532486127
2014-03-12,69.86,71.35,69,70.8799,46400431,46400431,0.7799,1.113,70.617,"Mar 12, 14",0.023388680334969696
2014-03-13,71.29,71.35,68.15,68.83,57091157,57091157,-2.0499,-2.892,69.4355,"Mar 13, 14",-0.006208489748772838
2014-03-14,68.49,69.43,67.46,67.72,48226824,48226824,-1.11,-1.613,68.0686,"Mar 14, 14",-0.022235056309558274
2014-03-17,68.18,68.95,66.62,68.7399,52196699,52196699,1.0199,1.506,67.9408,"Mar 17, 14",-0.007509384926364414
2014-03-18,68.76,69.6,68.3,69.19,40827226,40827226,0.4501,0.655,69.0069,"Mar 18, 14",-0.0010106843777072968
2014-03-19,69.17,69.29,67.465,68.24,43980558,43980558,-0.95,-1.373,67.5615,"Mar 19, 14",-0.014727115218019206
2014-03-20,68.01,68.23,66.82,66.97,44438500,44438500,-1.27,-1.861,67.4243,"Mar 20, 14",-0.03306381749927817
2014-03-21,67.53,67.92,66.1786,67.24,60041228,60041228,0.27,0.403,57.6898,"Mar 21, 14",-0.029165463470979064
2014-03-24,67.19,67.36,63.36,64.1,85695872,85695872,-3.14,-4.67,64.4781,"Mar 24, 14",-0.07450187698527304
2014-03-25,64.89,66.19,63.78,64.89,68785500,68785500,0.79,1.232,65.0062,"Mar 25, 14",-0.06309558186543465
2014-03-26,64.74,64.95,60.37,60.385,97689774,97689774,-4.505,-6.943,62.0959,"Mar 26, 14",-0.12814034074501887
2014-03-27,60.51,61.9,57.98,60.97,112649694,112649694,0.585,0.969,59.6131,"Mar 27, 14",-0.11969390701703733
2014-03-28,61.34,61.95,59.335,60.01,67051528,67051528,-0.96,-1.575,60.894,"Mar 28, 14",-0.1335547213398788
2014-03-31,60.78,61.52,59.87,60.24,53011205,53011205,0.23,0.383,60.7201,"Mar 31, 14",-0.13023390124169798
2014-04-01,60.46,62.66,60.24,62.62,59291210,59291210,2.38,3.951,61.7968,"Apr 1, 14",-0.09587063239965359
2014-04-02,63.21,63.91,62.21,62.72,66144812,66144812,0.1,0.16,63.0554,"Apr 2, 14",-0.09442679757435758
2014-04-03,62.55,63.17,59.13,59.49,83859330,83859330,-3.23,-5.15,60.7128,"Apr 3, 14",-0.14106266243141788
2014-04-04,59.94,60.2,56.32,56.749,125465774,125465774,-2.741,-4.607,57.9462,"Apr 4, 14",-0.18063817499278084
2014-04-07,55.9,58,55.44,56.95,108487569,108487569,0.201,0.354,56.5658,"Apr 7, 14",-0.1777360669939359
2014-04-08,57.68,58.71,57.17,58.1901,78835935,78835935,1.2401,2.178,58.0448,"Apr 8, 14",-0.15983107132544042
2014-04-09,59.63,62.4558,59.1882,62.41,100215307,100215307,4.2199,7.252,60.7958,"Apr 9, 14",-0.09890268553277516
2014-04-10,63.08,63.18,58.68,59.16,114987616,114987616,-3.25,-5.207,60.7605,"Apr 10, 14",-0.1458273173548947
2014-04-11,57.6,60.31,57.31,58.53,91451960,91451960,-0.63,-1.065,58.9978,"Apr 11, 14",-0.15492347675425935
2014-04-14,60.09,60.45,57.78,58.89,72324603,72324603,0.36,0.615,59.2721,"Apr 14, 14",-0.14972567138319381
2014-04-15,59.29,59.68,55.88,59.09,108622706,108622706,0.2,0.34,57.9045,"Apr 15, 14",-0.1468380017326018
2014-04-16,59.79,60.19,57.74,59.72,78773521,78773521,0.63,1.066,58.9811,"Apr 16, 14",-0.13774184233323716
2014-04-17,59.3,60.58,58.72,58.94,88040346,88040346,-0.78,-1.306,59.4441,"Apr 17, 14",-0.14900375397054585
2014-04-21,59.46,61.24,59.15,61.24,60363619,60363619,2.3,3.902,60.3651,"Apr 21, 14",-0.11579555298873813
2014-04-22,62.65,63.44,62.22,63.0301,60631312,60631312,1.7901,2.923,62.964,"Apr 22, 14",-0.08994946578111475
2014-04-23,63.45,63.48,61.26,61.36,96564750,96564750,-1.6701,-2.65,62.2334,"Apr 23, 14",-0.11406295119838297
2014-04-24,63.6,63.65,59.77,60.87,138769345,138769345,-0.49,-0.799,61.8059,"Apr 24, 14",-0.12113774184233334
2014-04-25,59.97,60.01,57.57,57.71,92501529,92501529,-3.16,-5.191,58.4078,"Apr 25, 14",-0.16676292232168644
2014-04-28,58.05,58.31,54.66,56.14,107757756,107757756,-1.57,-2.72,56.2617,"Apr 28, 14",-0.18943112907883344
2014-04-29,56.09,58.28,55.84,58.15,75557202,75557202,2.01,3.58,57.3493,"Apr 29, 14",-0.16041004909038414
2014-04-30,57.58,59.85,57.16,59.78,76093004,76093004,1.63,2.803,58.7506,"Apr 30, 14",-0.13687554143805952
2014-05-01,60.43,62.28,60.21,61.15,82428606,82428606,1.37,2.292,61.4056,"May 1, 14",-0.11709500433150456
2014-05-02,61.3,61.89,60.18,60.46,54189197,54189197,-0.69,-1.128,60.7845,"May 2, 14",-0.12705746462604683
2014-05-05,59.67,61.35,59.18,61.22,46057411,46057411,0.76,1.257,60.7472,"May 5, 14",-0.11608431995379737
2014-05-06,60.98,61.15,58.49,58.53,55900809,55900809,-2.69,-4.394,59.8442,"May 6, 14",-0.15492347675425935
2014-05-07,58.77,59.3,56.26,57.39,78587247,78587247,-1.14,-1.948,57.2521,"May 7, 14",-0.1713831937626336
2014-05-08,57.23,58.82,56.5,56.76,61251053,61251053,-0.63,-1.098,57.6041,"May 8, 14",-0.18047935316199837
2014-05-09,56.85,57.65,56.38,57.24,52583858,52583858,0.48,0.846,56.9869,"May 9, 14",-0.17354894600057758
2014-05-12,57.98,59.9,57.98,59.83,48575487,48575487,2.59,4.525,59.0907,"May 12, 14",-0.1361536240254116
2014-05-13,59.66,60.89,59.51,59.83,48525476,48525476,0,0,60.0988,"May 13, 14",-0.1361536240254116
2014-05-14,59.53,60.45,58.95,59.23,47428583,47428583,-0.6,-1.003,59.8402,"May 14, 14",-0.14481663297718753
2014-05-15,59.26,59.38,57.52,57.919,56813940,56813940,-1.311,-2.213,58.1529,"May 15, 14",-0.1637453075368179
2014-05-16,58.31,58.45,57.31,58.0199,47933075,47933075,0.1009,0.174,57.7983,"May 16, 14",-0.1622884781980942
2014-05-19,57.89,59.56,57.57,59.21,43033925,43033925,1.1901,2.051,58.725,"May 19, 14",-0.14510539994224667
2014-05-20,59.5,60.19,58.18,58.56,53931469,53931469,-0.65,-1.098,59.0554,"May 20, 14",-0.15449032630667053
2014-05-21,58.56,60.5,58.25,60.49,58991505,58991505,1.93,3.296,59.3666,"May 21, 14",-0.12662431417845801
2014-05-22,60.94,61.48,60.4,60.52,54200116,54200116,0.03,0.05,60.9133,"May 22, 14",-0.12619116373086922
2014-05-23,60.41,61.45,60.15,61.351,38293993,38293993,0.831,1.373,60.9435,"May 23, 14",-0.11419289633265962
2014-05-27,61.62,63.51,61.57,63.48,55681663,55681663,2.129,3.47,62.8453,"May 27, 14",-0.08345365290210811
