date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-11-25,49.5571,50.4185,49.2871,50.0342,13986546,1998078,0.341429,0.687,49.8714,"Nov 25, 13",0
2013-11-26,50.0714,50.9228,49.6528,50.7428,14689080,2098440,0.70857,1.416,50.4566,"Nov 26, 13",0.014162312977923183
2013-11-27,51.0157,51.9779,50.5057,51.7842,16832907,2404701,1.0414,2.052,51.5181,"Nov 27, 13",0.034976076363767185
2013-11-29,52.0071,52.5428,51.8585,52.2571,8388135,1198305,0.472857,0.913,52.2368,"Nov 29, 13",0.044427611513724666
2013-12-02,52.1257,52.5657,51.3728,51.9885,11676875,1668125,-0.268572,-0.514,51.8513,"Dec 2, 13",0.03905928345012019
2013-12-03,51.6985,51.9399,50.9285,51.8485,13403565,1914795,-0.139999,-0.269,51.3981,"Dec 3, 13",0.036261197341018805
2013-12-04,51.5128,52.6642,50.8928,50.8957,19399457,2771351,-0.952857,-1.838,51.6654,"Dec 4, 13",0.017218222735648808
2013-12-05,51.1142,51.5899,50.4842,51.1514,13793178,1970454,0.255714,0.502,51.0781,"Dec 5, 13",0.02232872715062905
2013-12-06,51.5771,51.6185,50.2857,50.6342,12082035,1726005,-0.517142,-1.011,50.792,"Dec 6, 13",0.011991797610434491
2013-12-09,50.7385,51.4099,50.5157,50.8099,11724300,1674900,0.175714,0.347,50.9502,"Dec 9, 13",0.015503395677356698
2013-12-10,50.7214,52.0628,50.4742,51.8714,14102669,2014667,1.0614,2.089,51.7106,"Dec 10, 13",0.036718884283150385
2013-12-11,52.0528,53.0228,51.7457,51.9971,20100801,2871543,0.125714,0.242,52.3879,"Dec 11, 13",0.03923116588253644
2013-12-12,51.9528,53.5485,51.9357,53.3328,21318766,3045538,1.3357,2.569,52.9777,"Dec 12, 13",0.06592690599629854
2013-12-13,53.7357,53.8571,52.6871,52.7099,17876628,2553804,-0.622857,-1.168,53.0492,"Dec 13, 13",0.05347742144373247
2013-12-16,52.8542,52.9999,52.0357,52.3299,13921404,1988772,-0.379999,-0.721,52.358,"Dec 16, 13",0.0458826162904574
2013-12-17,52.3928,53.9571,52.3242,53.5528,18516771,2645253,1.2229,2.337,53.7279,"Dec 17, 13",0.07032389845345782
2013-12-18,53.4085,53.8571,52.3585,53.7485,19895029,2842147,0.195714,0.365,52.9318,"Dec 18, 13",0.07423522310739457
2013-12-19,53.4571,54.2657,53.3357,53.8199,13856626,1979518,0.071428,0.133,53.8483,"Dec 19, 13",0.07566224702303621
2013-12-20,53.7857,54.2414,53.4771,53.6671,18822132,2688876,-0.152857,-0.284,53.8458,"Dec 20, 13",0.07260833589824559
2013-12-23,54.0985,54.7757,53.8044,54.3685,12662944,1808992,0.701428,1.307,54.4361,"Dec 23, 13",0.08662674730484347
2013-12-24,54.3942,54.8514,53.9257,54.0557,5577845,796835,-0.312857,-0.575,54.2502,"Dec 24, 13",0.08037502348393705
2013-12-26,54.0157,54.4157,53.6905,53.8471,12275704,1753672,-0.208571,-0.386,54.0593,"Dec 26, 13",0.07620587518137592
2013-12-27,53.8728,54.1071,52.2585,52.4999,16954049,2422007,-1.3471,-2.502,52.8726,"Dec 27, 13",0.04928029228008039
2013-12-30,52.5171,52.7914,51.2914,52.4271,15080219,2154317,-0.072858,-0.139,52.0122,"Dec 30, 13",0.0478252875033478
2013-12-31,52.2142,52.7357,51.9471,52.5957,10527202,1503886,0.168572,0.322,52.3752,"Dec 31, 13",0.05119498263187984
2014-01-02,52.4014,52.5114,51.5428,51.8314,12333979,1761997,-0.764285,-1.453,51.6328,"Jan 2, 14",0.035919431109121436
2014-01-03,51.9999,52.4956,51.8428,51.8714,10818885,1545555,0.04,0.077,52.2091,"Jan 3, 14",0.036718884283150385
2014-01-06,51.8899,52.0442,50.4757,51.3671,15503915,2214845,-0.504286,-0.972,51.1819,"Jan 6, 14",0.026639778391580205
2014-01-07,49.6842,49.6985,48.1528,48.5,36210153,5172879,-2.8671,-5.582,48.8433,"Jan 7, 14",-0.030663026489880892
2014-01-08,48.1042,49.4257,48.0742,48.7128,20018985,2859855,0.212856,0.439,49.2085,"Jan 8, 14",-0.026409935604046773
2014-01-09,48.8242,49.14,47.8571,48.15,17017301,2431043,-0.562856,-1.155,48.2607,"Jan 9, 14",-0.037658241762634354
2014-01-10,48.2957,48.3767,47.2185,47.4485,16249758,2321394,-0.701428,-1.457,47.5985,"Jan 10, 14",-0.051678651802167234
2014-01-13,47.3042,49.81,47.3042,48.1157,27247857,3892551,0.667142,1.406,48.3075,"Jan 13, 14",-0.03834377285936423
2014-01-14,48.7771,48.8,47.51,48.28,19770296,2824328,0.164286,0.341,48.209,"Jan 14, 14",-0.035060018947040174
2014-01-15,47.8571,48.3671,45.5814,47.1971,40479404,5782772,-1.0829,-2.243,46.6734,"Jan 15, 14",-0.05670321500093935
2014-01-16,46.9157,47.6957,46.0028,47.3828,21139797,3019971,0.185714,0.393,47.1734,"Jan 16, 14",-0.0529917536405098
2014-01-17,47.4385,47.8314,46.8914,47.1485,16434446,2347778,-0.234286,-0.494,47.2308,"Jan 17, 14",-0.05767455060738455
2014-01-21,47.4614,47.496,45.75,46.9585,25240754,3605822,-0.19,-0.403,46.4482,"Jan 21, 14",-0.061471953184022085
2014-01-22,47.0714,47.777,46.7644,47.6757,49331009,7047287,0.717143,1.527,50.4677,"Jan 22, 14",-0.04713775777368279
2014-01-23,55.3428,56.5185,53.9271,55.5314,91360052,13051436,7.8557,16.477,55.277,"Jan 23, 14",0.10986884970680054
2014-01-24,54.8114,55.8142,54.7685,55.1542,35713125,5101875,-0.377142,-0.679,55.2889,"Jan 24, 14",0.10233000627570751
2014-01-27,55.3414,55.9285,52.9371,54.4614,32589193,4655599,-0.692857,-1.256,54.2184,"Jan 27, 14",0.08848347730152574
2014-01-28,54.4742,58.2014,54.3942,58.1099,43746773,6249539,3.6486,6.699,56.5839,"Jan 28, 14",0.16140359993764275
2014-01-29,57.5885,58.1914,56.8642,57.2028,29026893,4146699,-0.907142,-1.561,57.4731,"Jan 29, 14",0.14327400058360093
2014-01-30,58.1571,58.4557,57.3585,57.8099,18408341,2629763,0.607142,1.061,57.911,"Jan 30, 14",0.15540770113242544
