date,minute,label,high,low,average,volume,notional,numberOfTrades,marketHigh,marketLow,marketAverage,marketVolume,marketNotional,marketNumberOfTrades,open,close,marketOpen,marketClose,changeOverTime,marketChangeOverTime
20181123,09:30,09:30 AM,260.98,258.95,260.022,1433,372611.55,17,262.62,258.895,260.32,298946,77821612.0501,1237,258.95,260.98,260.1,262.6,0,0
20181123,09:31,09:31 AM,263.235,262.28,262.803,449,117998.78,8,263.78,261.79,262.969,95841,25203216.3812,613,262.74,262.28,262.335,262.7,0.010695248863557723,0.010175937307928706
20181123,09:32,09:32 AM,263.17,262.125,262.833,500,131416.5,5,263.32,261.194,262.782,46491,12217003.7654,458,263.01,262.125,262.68,261.23,0.010810623716454899,0.009457590657652079
20181123,09:33,09:33 AM,261.52,260.335,260.974,400,104389.5,4,261.884,260.11,261.084,39350,10273667.0748,426,261.52,260.335,261.469,261.308,0.003661228665266778,0.002934849416103296
20181123,09:34,09:34 AM,262.81,261.64,262.183,436,114311.92,5,263,260.69,262.127,58711,15389768.9817,381,261.64,262.18,261.473,262.781,0.008310835237018411,0.0069414566687154905
20181123,09:35,09:35 AM,263.5,262.76,263.216,902,237421.02,14,263.88,261.814,263.202,51480,13549635.0708,472,262.76,263.43,262.786,263.63,0.012283576005107325,0.01107098955132147
20181123,09:36,09:36 AM,263.44,262.525,263.08,414,108915,5,263.63,262.38,263.057,34732,9136508.8104,401,263.44,263.355,263.3,263.47,0.01176054333864055,0.01051398279041189
20181123,09:37,09:37 AM,264.35,263.265,263.828,701,184943.35,8,264.69,263.022,263.953,50187,13247007.0572,597,263.265,264.35,263.47,264.228,0.014637223004207271,0.013955900430239634
20181123,09:38,09:38 AM,264.795,263.795,264.368,300,79310.5,3,265.15,263.455,264.584,66194,17513854.8985,768,263.795,264.795,264.22,264.88,0.016713970356354475,0.016379840196681046
20181123,09:39,09:39 AM,264.29,263.795,264.029,400,105611.5,4,265.51,263.53,264.429,86781,22947398.453,667,264.29,264.175,264.86,264.26,0.015410234518617675,0.015784419176398206
20181123,09:40,09:40 AM,264.08,263.565,263.96,1603,423128.195,10,264.495,263.4,263.908,37338,9853798.6745,324,263.875,263.565,264.49,263.92,0.015144872356954367,0.013783036263060934
20181123,09:41,09:41 AM,263.72,262.695,263.318,700,184322.5,7,263.92,262.55,263.052,30007,7893402.2505,252,263.72,262.99,263.53,263.03,0.012675850504957243,0.010494775660725368
20181123,09:42,09:42 AM,263.145,262.83,262.953,820,215621.6,8,263.879,262.73,262.969,30930,8133624.2169,237,263.145,262.875,263.139,262.985,0.011272123128042948,0.010175937307928706
20181123,09:43,09:43 AM,263.725,262.93,263.145,642,168939.2,7,263.89,262.76,263.304,30744,8095019.8361,305,262.93,263.725,262.875,263.555,0.012010522186584176,0.011462814996926784
20181123,09:44,09:44 AM,263.245,262.87,263.071,1710,449851.4,9,263.65,262.63,263.06,22238,5849920.038,240,263.245,262.87,263.516,262.66,0.011725930882771593,0.01052550706822376
20181123,09:45,09:45 AM,263.75,263.145,263.546,605,159445.65,6,263.99,262.84,263.559,25014,6592668.6173,271,263.53,263.145,263.01,263.29,0.013552699386974952,0.012442378610940507
20181123,09:46,09:46 AM,264.79,263.375,264.377,418,110509.75,6,264.8,263.22,264.318,39178,10355445.8614,295,263.375,264.79,263.38,264.76,0.01674858281222365,0.015358020897357062
20181123,09:47,09:47 AM,264.7,264.66,264.673,302,79931.4,3,264.953,264.36,264.669,24294,6429859.011,246,264.66,264.7,264.61,264.85,0.01788694802747464,0.016706361401352142
20181123,09:48,09:48 AM,265.22,264.65,264.978,500,132489,5,265.45,264.01,264.958,47532,12594003.4915,487,264.65,265.21,264.67,264.33,0.019059925698594802,0.017816533497234305
20181123,09:49,09:49 AM,264.47,263.585,264.171,490,129443.95,6,264.65,263.416,263.973,21697,5727432.0101,210,263.98,263.585,264.31,263.486,0.015956342155663755,0.014032728948985941
