date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2018-10-26,300.51,313.99,292.3,299.83,19616041,19616041,-13.04,-4.168,301.2882,Oct 26,0
2018-10-29,305.26,307.89,275.4,284.84,21698841,21698841,-14.99,-4.999,289.211,Oct 29,-0.049994997165060236
2018-10-30,275.57,290.525,271.2093,285.81,23685702,23685702,0.97,0.341,280.9746,Oct 30,-0.04675983057065665
2018-10-31,297.77,311.5,295.05,301.78,20360342,20360342,15.97,5.588,304.3765,Oct 31,0.006503685421738948
2018-11-01,304.59,318.45,296.67,317.38,15121450,15121450,15.6,5.169,309.5605,Nov 1,0.05853316879565091
2018-11-02,318,321.88,308.33,309.1,13404646,13404646,-8.28,-2.609,313.901,Nov 2,0.030917519927959308
2018-11-05,311.1,317.53,303.74,315.44,10283044,10283044,6.34,2.051,310.4095,Nov 5,0.052062835606843924
2018-11-06,314.76,320.22,305.3,310.84,9710424,9710424,-4.6,-1.458,311.821,Nov 6,0.036720808458126246
2018-11-07,312.9,328.56,311,327.5,13328328,13328328,16.66,5.36,323.1769,Nov 7,0.09228562852282966
2018-11-08,328,332.0499,316.6103,317.92,11023853,11023853,-9.58,-2.925,323.929,Nov 8,0.0603341893739787
2018-11-09,311.07,312.98,298.01,303.47,13480792,13480792,-14.45,-4.545,304.6988,Nov 9,0.01214021278724625
2018-11-12,300,302.49,290.63,294.07,10924827,10924827,-9.4,-3.098,295.9435,Nov 12,-0.019210886168828975
2018-11-13,295,303.55,289.1,294.4,12232162,12232162,0.33,0.112,295.5295,Nov 13,-0.0181102624820732
2018-11-14,300.4,301.84,278.2969,286.73,16853574,16853574,-7.67,-2.605,287.2203,Nov 14,-0.04369142514091307
2018-11-15,285.51,292.5,282.16,290.06,9967098,9967098,3.33,1.161,287.5178,Nov 15,-0.032585131574558855
2018-11-16,287.14,291.72,281,286.21,9099485,9099485,-3.85,-1.327,286.2771,Nov 16,-0.04542574125337693
2018-11-19,283.79,285.09,269.15,270.6,12993797,12993797,-15.61,-5.454,273.8527,Nov 19,-0.09748857686022067
2018-11-20,254.63,276.34,250,266.98,16693809,16693809,-3.62,-1.338,265.6156,Nov 20,-0.1095620851816028
2018-11-21,274.42,275.34,261.51,262.13,11023037,11023037,-4.85,-1.817,266.5483,Nov 21,-0.12573791815362034
2018-11-23,260.11,265.5,256.84,258.82,5245123,5245123,-3.31,-1.263,260.2891,Nov 23,-0.13677750725411064
