date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-11-27,195.56,195.85,194,195.05,3210145,3210145,-0.7,-0.358,194.9855,"Nov 27, 17",0
2017-11-28,195.34,199.68,194.01,199.18,6981094,6981094,4.13,2.117,198.0317,"Nov 28, 17",0.021174057933863087
2017-11-29,198.91,199.029,184.32,188.15,14202713,14202713,-11.03,-5.538,189.6781,"Nov 29, 17",-0.03537554473212
2017-11-30,190.31,190.86,186.68,187.58,6630051,6630051,-0.57,-0.303,188.6229,"Nov 30, 17",-0.038297872340425525
2017-12-01,186.99,189.8,185,186.82,6219531,6219531,-0.76,-0.405,186.9901,"Dec 1, 17",-0.04219430915149971
2017-12-04,189.36,189.72,178.38,184.04,9069765,9069765,-2.78,-1.488,183.4392,"Dec 4, 17",-0.05644706485516544
2017-12-05,183.5,188.14,181.19,184.21,5783697,5783697,0.17,0.092,185.6973,"Dec 5, 17",-0.055575493463214574
2017-12-06,183.38,186.4844,182.88,185.3,5490088,5490088,1.09,0.592,184.4139,"Dec 6, 17",-0.04998718277364778
2017-12-07,185.71,187.34,183.22,185.2,4659542,4659542,-0.1,-0.054,185.3478,"Dec 7, 17",-0.05049987182773659
2017-12-08,186.5,189.42,186.3,188.54,4987270,4987270,3.34,1.803,188.1568,"Dec 8, 17",-0.03337605742117415
2017-12-11,187.85,189.42,185.91,186.22,5298583,5298583,-2.32,-1.231,187.1105,"Dec 11, 17",-0.045270443476031846
2017-12-12,186.01,187.85,184.8183,185.73,4265907,4265907,-0.49,-0.263,186.3895,"Dec 12, 17",-0.0477826198410665
2017-12-13,186.1,188.69,185.41,187.86,4710041,4710041,2.13,1.147,187.5191,"Dec 13, 17",-0.03686234298897717
2017-12-14,187.98,192.64,187.2,189.56,7792849,7792849,1.7,0.905,190.5594,"Dec 14, 17",-0.028146629069469412
2017-12-15,189.61,191.43,188.01,190.12,7285641,7285641,0.56,0.295,189.8646,"Dec 15, 17",-0.025275570366572707
2017-12-18,191.2,191.65,188.9,190.42,5010961,5010961,0.3,0.158,189.9417,"Dec 18, 17",-0.02373750320430671
2017-12-19,190.18,190.2981,185.75,187.02,7032978,7032978,-3.4,-1.786,187.1953,"Dec 19, 17",-0.04116893104332223
2017-12-20,187.94,189.11,185.26,188.82,6545394,6545394,1.8,0.962,187.5092,"Dec 20, 17",-0.031940528069725804
2017-12-21,189.44,190.95,187.58,188.62,4729836,4729836,-0.2,-0.106,189.0775,"Dec 21, 17",-0.03296590617790313
2017-12-22,188.33,190.95,186.8,189.94,3878904,3878904,1.32,0.7,189.6527,"Dec 22, 17",-0.026198410663932394
2017-12-26,189.78,189.94,186.4,187.76,3045652,3045652,-2.18,-1.148,187.3956,"Dec 26, 17",-0.037375032043065984
2017-12-27,187.8,188.1,185.22,186.24,4002098,4002098,-1.52,-0.81,186.2831,"Dec 27, 17",-0.04516790566521406
2017-12-28,187.18,194.49,186.85,192.71,10107392,10107392,6.47,3.474,191.6504,"Dec 28, 17",-0.011996923865675484
2017-12-29,192.51,193.95,191.22,191.96,5187606,5187606,-0.75,-0.389,192.3748,"Dec 29, 17",-0.0158420917713407
